date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:05:07	9825/9825	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Mar%202024%2005:05:06%20GMT	https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8	E:/paginas%20clon/saren1/tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8.html	(from )
01:05:07	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5ef696cdb1193%22	https://tramites.saren.gob.ve/robots.txt		(from )
01:05:08	58935/58935	---M-Z	200	added ('OK')	text/css	etag:%22e637-5ef696cd6faac-gzip%22	https://tramites.saren.gob.ve/plugins/fontawesome-free/css/all.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/fontawesome-free/css/all.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:08	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%2264382bc3-c854%22	https://code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	E:/paginas%20clon/saren1/code.ionicframework.com/ionicons/2.0.1/css/ionicons.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:09	689674/689674	---MCZ	200	added ('OK')	text/css	etag:%22a860a-5ef696ccf885e-gzip%22	https://tramites.saren.gob.ve/dist/css/adminlte.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/dist/css/adminlte.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:10	9064/9064	---M-Z	200	added ('OK')	text/css	etag:%222368-5ef696cdb1193-gzip%22	https://tramites.saren.gob.ve/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:10	12501/12501	---M-Z	200	added ('OK')	text/css	etag:%2230d5-5ef696cd777ad-gzip%22	https://tramites.saren.gob.ve/plugins/icheck-bootstrap/icheck-bootstrap.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:11	613/613	---M-Z	200	added ('OK')	text/css	etag:%22265-5ef696cd8044e-gzip%22	https://tramites.saren.gob.ve/plugins/jqvmap/jqvmap.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/jqvmap/jqvmap.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:11	19724/19724	---M-Z	200	added ('OK')	text/css	etag:%224d0c-5ef696cd8df0f-gzip%22	https://tramites.saren.gob.ve/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
01:05:12	7659/7659	---M-Z	200	added ('OK')	text/css	etag:%221deb-5ef696cd4b888-gzip%22	https://tramites.saren.gob.ve/plugins/daterangepicker/daterangepicker.css	E:/paginas%20clon/saren1/tramites.saren.gob.ve/plugins/daterangepicker/daterangepicker.css	(from https://tramites.saren.gob.ve/qr/f8b5ec9df5aadc8699ea6a8f1b605bf9612d910b48ec481bae89fb80b1416fa8)
